iter	Passed	Remaining
411	4173	7983
412	4184	7972
413	4193	7961
414	4203	7950
415	4213	7940
416	4223	7930
417	4234	7921
418	4245	7913
419	4254	7901
420	4265	7892
421	4276	7883
422	4287	7874
423	4297	7864
424	4307	7854
425	4318	7846
426	4328	7836
427	4337	7824
428	4347	7813
429	4357	7803
430	4368	7793
431	4377	7782
432	4389	7775
433	4400	7766
434	4410	7756
435	4419	7744
436	4430	7734
437	4441	7726
438	4451	7716
439	4460	7705
440	4470	7693
441	4479	7681
442	4489	7672
443	4500	7662
444	4510	7652
445	4520	7642
446	4531	7634
447	4543	7626
448	4553	7615
449	4561	7602
450	4571	7592
451	4582	7583
452	4592	7573
453	4603	7563
454	4614	7555
455	4625	7546
456	4635	7536
457	4645	7525
458	4655	7515
459	4665	7505
460	4675	7495
461	4686	7486
462	4697	7477
463	4708	7468
464	4718	7457
465	4728	7448
466	4737	7436
467	4748	7426
468	4758	7416
469	4767	7405
470	4778	7396
471	4789	7386
472	4799	7376
473	4808	7365
474	4819	7356
475	4829	7345
476	4839	7335
477	4849	7325
478	4859	7315
479	4870	7306
480	4881	7296
481	4890	7285
482	4900	7275
483	4909	7262
484	4919	7251
485	4928	7240
486	4938	7230
487	4948	7220
488	4957	7207
489	4966	7197
490	4977	7186
491	4987	7176
492	4998	7168
493	5008	7157
494	5018	7147
495	5028	7136
496	5039	7127
497	5049	7118
498	5059	7107
499	5067	7094
500	5078	7085
501	5087	7074
502	5097	7063
503	5107	7053
504	5117	7042
505	5128	7033
506	5137	7022
507	5147	7012
508	5159	7004
509	5169	6994
510	5180	6985
511	5191	6975
512	5200	6964
513	5210	6954
514	5220	6944
515	5232	6935
516	5242	6926
517	5252	6915
518	5263	6906
519	5273	6896
520	5285	6888
521	5296	6879
522	5306	6868
523	5314	6855
524	5324	6845
525	5333	6833
526	5344	6824
527	5354	6814
528	5364	6804
529	5374	6793
530	5384	6783
531	5394	6773
532	5405	6764
533	5414	6753
534	5424	6742
535	5433	6731
536	5443	6721
537	5453	6710
538	5464	6700
539	5474	6690
540	5483	6679
541	5494	6670
542	5504	6660
543	5513	6648
544	5523	6638
545	5533	6628
546	5544	6618
547	5553	6607
548	5565	6599
549	5575	6589
550	5585	6579
551	5596	6570
552	5607	6560
553	5616	6549
554	5626	6538
555	5635	6527
556	5645	6516
557	5653	6504
558	5663	6494
559	5673	6484
560	5683	6473
561	5693	6463
562	5702	6452
563	5713	6443
564	5724	6433
565	5735	6424
566	5746	6415
567	5756	6405
568	5766	6395
569	5777	6385
570	5788	6376
571	5797	6364
572	5806	6353
573	5815	6342
574	5824	6330
575	5834	6320
576	5845	6311
577	5856	6302
578	5866	6292
579	5877	6282
580	5886	6271
581	5895	6260
582	5906	6251
583	5917	6241
584	5926	6230
585	5937	6221
586	5946	6210
587	5955	6198
588	5964	6187
589	5975	6177
590	5985	6167
591	5995	6157
592	6006	6148
593	6017	6139
594	6027	6128
595	6037	6118
596	6046	6107
597	6057	6097
598	6067	6087
599	6077	6077
600	6085	6065
601	6095	6054
602	6105	6044
603	6116	6035
604	6128	6027
605	6139	6017
606	6149	6008
607	6158	5996
608	6168	5985
609	6178	5975
610	6189	5966
611	6200	5956
612	6210	5947
613	6221	5937
614	6231	5927
615	6241	5917
616	6251	5906
617	6259	5895
618	6269	5884
619	6280	5875
620	6292	5866
621	6302	5857
622	6314	5847
623	6325	5838
624	6334	5828
625	6345	5818
626	6355	5807
627	6366	5798
628	6376	5788
629	6386	5778
630	6396	5768
631	6406	5758
632	6417	5748
633	6427	5738
634	6437	5728
635	6446	5716
636	6456	5706
637	6467	5697
638	6476	5686
639	6486	5675
640	6496	5665
641	6505	5653
642	6516	5644
643	6525	5633
644	6536	5624
645	6546	5614
646	6556	5603
647	6564	5592
648	6574	5581
649	6584	5571
650	6594	5561
651	6606	5552
652	6617	5543
653	6627	5533
654	6636	5522
655	6646	5511
656	6656	5501
657	6665	5490
658	6676	5481
659	6687	5471
660	6696	5460
661	6707	5451
662	6718	5441
663	6730	5433
664	6742	5424
665	6754	5415
666	6766	5406
667	6778	5398
668	6788	5387
669	6799	5378
670	6811	5369
671	6821	5360
672	6833	5351
673	6843	5341
674	6854	5331
675	6866	5322
676	6877	5313
677	6890	5304
678	6901	5295
679	6912	5285
680	6923	5276
681	6935	5267
682	6946	5258
683	6957	5248
684	6968	5239
685	6980	5229
686	6991	5220
687	7003	5212
688	7015	5203
689	7027	5194
690	7039	5185
691	7050	5176
692	7063	5167
693	7074	5157
694	7087	5149
695	7101	5142
696	7114	5134
697	7125	5124
698	7137	5115
699	7150	5107
700	7162	5098
701	7174	5089
702	7187	5081
703	7200	5073
704	7213	5064
705	7225	5055
706	7237	5046
707	7250	5038
708	7263	5029
709	7274	5020
710	7287	5011
711	7299	5003
712	7310	4993
713	7320	4982
714	7330	4972
715	7340	4961
716	7351	4952
717	7362	4942
718	7372	4932
719	7383	4922
720	7394	4912
721	7405	4902
722	7416	4893
723	7425	4882
724	7435	4871
725	7446	4861
726	7455	4850
727	7464	4839
728	7474	4829
729	7484	4818
730	7495	4809
731	7505	4798
732	7516	4788
733	7526	4778
734	7537	4768
735	7548	4758
736	7560	4749
737	7571	4739
738	7581	4729
739	7593	4720
740	7603	4709
741	7613	4699
742	7623	4688
743	7634	4679
744	7645	4669
745	7656	4659
746	7667	4649
747	7678	4639
748	7689	4630
749	7700	4620
750	7710	4609
751	7720	4599
752	7730	4589
753	7741	4579
754	7751	4568
755	7763	4559
756	7775	4550
757	7784	4539
758	7794	4528
759	7804	4518
760	7815	4508
761	7825	4498
762	7835	4487
763	7846	4477
764	7855	4466
765	7865	4456
766	7874	4445
767	7884	4435
768	7893	4424
769	7903	4413
770	7915	4404
771	7927	4395
772	7938	4385
773	7948	4374
774	7957	4363
775	7968	4353
